mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-17-6fnk-s0-n100-0089,0.5,0.5,0.411765,0.411765,0,0,0.0,1.2264,1.2264,436
2026-09-17-6fnk-s0-n100-0090,0.357143,0.428571,0.333333,0.4,0,0,0.8062,0.7592,1.0876,472
2026-09-17-6fnk-s0-n100-0091,0.5,0.5,0.4375,0.4375,0,0,0.0,1.0736,1.0736,484
2026-09-17-6fnk-s0-n100-0092,0.5,0.571429,0.35,0.4,1,1,1.2467,0.6159,0.7889,400
2026-09-17-6fnk-s0-n100-0093,0.357143,0.428571,0.3125,0.352941,0,1,1.0287,0.8465,1.7841,519
2026-09-17-6fnk-s0-n100-0094,0.357143,0.285714,0.263158,0.181818,1,1,1.0405,1.1688,1.275,411
2026-09-17-6fnk-s0-n100-0095,0.357143,0.428571,0.357143,0.4,0,0,1.0778,1.3424,1.7865,404
2026-09-17-6fnk-s0-n100-0096,0.214286,0.357143,0.166667,0.263158,1,1,1.057,1.7049,1.7503,389
2026-09-17-6fnk-s0-n100-0097,0.571429,0.571429,0.5,0.5,0,0,0.0,2.5617,2.5617,465
2026-09-17-6fnk-s0-n100-0098,0.285714,0.357143,0.222222,0.277778,1,1,0.6114,1.9685,2.2074,405
2026-09-17-6fnk-s0-n100-0099,0.285714,0.357143,0.222222,0.263158,0,0,0.9336,1.4279,1.4574,452
2026-09-17-6fnk-s0-n100-0100,0.357143,0.357143,0.263158,0.263158,1,1,0.9612,0.8565,0.9222,213
