run_id,mol_id,score_all7,score_scoring6,tanimoto,key_hbond,n_heavy
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.6,0.619048,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.4,0.705882,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.6,0.736842,1,23
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.4,0.588235,1,11
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.6,0.65,1,18
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.2,0.65,1,26
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.2,0.578947,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.6,0.631579,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.4,0.619048,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.8,0.761905,1,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.6,0.608696,1,39
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.0,0.473684,0,16
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.4,0.722222,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.2,0.578947,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.8,0.761905,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.8,0.681818,1,32
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.6,0.722222,1,13
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.4,0.521739,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.6,0.5,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.4,0.647059,1,16
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.2,0.461538,1,32
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.4,0.541667,1,32
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.4,0.541667,1,34
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.2,0.526316,0,13
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.6,0.705882,1,15
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.4,0.647059,1,15
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.4,0.647059,1,15
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.4,0.65,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.6,0.764706,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.6,0.56,1,39
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.0,0.529412,0,15
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.6,0.65,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0040,0.882353,0.6,0.833333,1,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0041,0.823529,0.4,0.777778,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0042,0.764706,0.4,0.722222,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.2,0.5,0,34
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.2,0.647059,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.6,0.722222,1,30
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.2,0.458333,1,37
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.0,0.52381,0,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.4,0.736842,1,34
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.8,0.823529,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.4,0.823529,1,23
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.4,0.5,1,10
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.4,0.65,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.6,0.764706,1,23
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.0,0.529412,0,12
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.4,0.647059,1,15
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.4,0.5,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.8,0.736842,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.2,0.6,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.6,0.705882,1,18
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.2,0.571429,0,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.6,0.722222,1,16
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.8,0.75,1,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.2,0.631579,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.4,0.538462,1,33
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.2,0.578947,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.4,0.611111,1,13
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0067,0.764706,0.4,0.722222,1,26
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0068,0.764706,0.6,0.764706,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0069,0.764706,0.6,0.722222,1,19
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0070,0.823529,0.4,0.636364,1,29
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0071,0.588235,0.2,0.434783,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0072,0.588235,0.2,0.526316,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0073,0.470588,0.2,0.363636,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0074,0.705882,0.4,0.6,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0075,0.764706,0.6,0.65,1,23
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0076,0.823529,0.6,0.777778,1,31
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0077,0.764706,0.4,0.541667,1,25
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0078,0.764706,0.8,0.65,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0079,0.764706,0.6,0.684211,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0080,0.588235,0.2,0.526316,1,14
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0081,0.705882,0.6,0.6,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0082,0.764706,0.2,0.619048,1,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0083,0.764706,0.2,0.590909,1,36
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0084,0.882353,0.6,0.714286,1,30
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0085,0.764706,0.4,0.590909,1,23
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0086,0.823529,0.4,0.7,1,26
