run_id,source,top_fraction,n_selected,distinct_scores,score_at_cut,ties_at_cut,metric,aggregation,value,iqr_low,iqr_high,ci_low,ci_high
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,ifp_tanimoto,distribution,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.5294117647058824,0.6176470588235294
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,ifp_tversky,distribution,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.5294117647058824,0.6176470588235294
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,hinge_hbond,share,0.9,,,0.7666666666666667,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,ifp_score,distribution,0.7,0.6,0.8,0.6,0.8
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,ifp_score_norm,distribution,0.030435,0.026087,0.034783,0.026087,0.034783
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.3,30,3,0.6,15,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,ifp_tanimoto,distribution,0.6176470588235294,0.5882352941176471,0.6764705882352942,0.5882352941176471,0.6568627450980392
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,ifp_tversky,distribution,0.6176470588235294,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.6764705882352942
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,hinge_hbond,share,0.9,,,0.75,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,ifp_score,distribution,0.8,0.75,0.8500000000000001,0.8,0.8
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,ifp_score_norm,distribution,0.034783,0.032609,0.036956750000000003,0.034783,0.034783
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.2,20,3,0.6,15,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,ifp_tanimoto,distribution,0.6764705882352942,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.7058823529411765
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,ifp_tversky,distribution,0.6764705882352942,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.7058823529411765
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,hinge_hbond,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,ifp_score,distribution,0.9,0.8,1.0,0.8,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,ifp_score_norm,distribution,0.0391305,0.034783,0.043478,0.034783,0.043478
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.1,10,2,0.8,10,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,ifp_tanimoto,distribution,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.7647058823529411
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,ifp_tversky,distribution,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.7647058823529411
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,hinge_hbond,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,ifp_score,distribution,1.0,1.0,1.0,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,ifp_score_norm,distribution,0.043478,0.043478,0.043478,0.043478,0.043478
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.05,5,1,1.0,5,connected,share,1.0,,,1.0,1.0
